呼吸法标识,呼吸法名称,呼吸类型,呼吸时间,呼吸提示
1468214799086125056,丹田呼吸法,吸气,3,鼻吸气，腹部缓缓鼓起如圆球状，肋骨微扩不耸肩，意念清气自鼻入，沉至丹田（脐下），感受腹部温暖扩张与充实感
1468214799086125056,丹田呼吸法,呼气,6,口微张呼气（或鼻呼），腹部自然内收如凹陷，意念浊气自丹田排出体外，感受全身肌肉放松与肩颈压力释放
1468214799224537088,四七八安神呼吸法,吸气,4,鼻吸气4秒，腹部自然微鼓如充气球，肋骨轻度扩张，意念观想清新之气沿任脉沉入丹田，感受气息温润入体。
1468214799224537088,四七八安神呼吸法,屏息,7,轻柔闭气7秒，喉部放松无紧绷感，意念内守丹田如静水映月，避免身体僵硬，重点体会气息在体内弥散的饱满感。
1468214799224537088,四七八安神呼吸法,呼气,8,口呼气8秒，双唇微撅如吹灰状，腹部缓慢内收如泄气球，意念浊气随呼气从百会穴排出，感受全身肌肉层层放松。
1468214799358754816,四相调息法,吸气,4,鼻吸缓慢深长，腹部自然微鼓如充气球，意念气沉丹田（脐下三寸），感受清气入体；
1468214799358754816,四相调息法,屏息,4,轻闭气道，不鼓腮不憋胀，意守丹田温热感，保持身心平静；
1468214799358754816,四相调息法,呼气,4,口鼻轻柔呼气，腹部缓缓内收如泄气球，想象浊气从全身毛孔排出；
1468214799358754816,四相调息法,屏息,4,呼气后短暂闭气，放松肩颈，静待气息自然复位，准备下一轮。
1468214799480389632,三六五宁神法,吸气,3,鼻吸气时腹部自然隆起如充气球，意念引导清气沉入丹田（脐下三寸），感受气息充盈全身，避免耸肩或胸廓过度扩张；关键感受为清凉舒适。
1468214799480389632,三六五宁神法,屏息,6,闭口暂止呼吸，气息蓄于丹田，意守下腹如深潭静水，避免身体紧张或憋气感；关键感受为内在平静与能量凝聚。
1468214799480389632,三六五宁神法,呼气,5,口微张呼气时腹部缓缓内收如泄气球，意念浊气从口鼻排出体外，想象烦热随气流消散；关键感受为全身放松与轻盈感。
1468214799610413056,呬字诀,吸气,2,自然经鼻腔吸气，腹部微鼓起，意念引导气息沉至下腹（丹田），感受胸腔轻柔扩张。
1468214799610413056,呬字诀,呼气,4,双唇缩拢如吹口哨状，缓慢均匀呼气，同时腹部内收，想象体内浊气与痰湿随气流排出体外，呼气时长应明显超过吸气。
1468214799736242177,吹字诀,吸气,2,自然鼻吸，腹部微鼓如充气球，意念集中丹田，肩背放松无起伏
1468214799736242177,吹字诀,呼气,4,双唇收拢如吹蜡烛，缓慢呼出‘吹——‘的轻柔长音（声带不振动），意念引导气流沉入两肾区域，想象排出体内寒气，呼气末尾腹部自然内收
1468214799736242178,呼字诀,吸气,2,鼻吸自然，腹部微鼓，意念轻守中脘穴（肚脐上4寸），感受清新之气入脾胃，保持肋骨平稳扩张。
1468214799736242178,呼字诀,呼气,4,口型微圆如吹灰，缓慢呼气同时发‘呼’音（音似‘hū’，声调平缓），腹部轻柔内收，意念想象脾胃湿浊之气随呼气排出，感受腹部温热感增强。
1468214799736242179,嘻字诀,吸气,2,自然鼻吸，腹部微鼓起，意念天地清气缓缓入体，肋骨轻柔扩张，避免耸肩；
1468214799736242179,嘻字诀,呼气,4,口发‘嘻‘音（音似‘西‘，声调平缓），缓慢均匀吐气，意念三焦浊气随音排出，身体自上而下放松，重点感受胸腹区域舒畅。
1468214799736242180,呵字诀,吸气,2,自然吸气，腹部微收，意念轻守心窝（两乳连线中点），感受气息如清泉注入；
1468214799736242180,呵字诀,呼气,4,缓慢呼气，口型微张如呵暖茶，发‘呵——‘长音（音量轻柔），想象心火随浊气排出体外。
1468214799736242181,嘘字诀,吸气,2,通过鼻腔缓慢吸气，腹部自然微收，意念气沉肝区（两胁下），感受气息充盈。
1468214799736242181,嘘字诀,呼气,4,口唇微张呈扁平状，发‘嘘’(xū)音，缓慢均匀吐气，意念肝气郁结随浊气排出，可想象绿色光流经两胁，疏泄肝火。
1468214799883042816,敛息法,吸气,2,轻柔短促，腹部微收（幅度小于正常呼吸），意念关注鼻端，感受气息如丝线般轻入；关键感受为气息不深不急，避免胸腔扩张。
1468214799883042816,敛息法,呼气,4,自然放松，腹部缓缓回弹，想象体内浊气如烟消散；关键感受为呼气绵长均匀，无憋闷感。
1468214800067592192,入多出少呼吸法,吸气,6,用鼻缓缓深吸气，腹部自然隆起如充气球，意念专注引导清气下沉至丹田，感受能量充盈全身，避免胸腔过度扩张。
1468214800067592192,入多出少呼吸法,呼气,4,用口微张轻柔呼气，腹部缓慢内收，意念想象体内浊气、湿气随呼气排出体外，呼气速度稍快但保持均匀平稳，达到鸿毛轻拂而不动的轻柔程度。
1468214800197615616,橐籥呼吸法,吸气,2,快速有力地通过鼻腔吸气，腹部微收内敛，意念清气自鼻入体，直贯丹田；关键感受为胸腔瞬间扩张，气息如风灌入。
1468214800197615616,橐籥呼吸法,呼气,2,快速有力地通过鼻腔呼气，腹部自然放松外鼓，意念浊气自全身排出；关键感受为气息急促外涌，伴随肩背微热感。
1468214800361193472,升阳导引呼吸法,吸气,1,端坐深吸气，腹部自然隆起如鼓，肋骨横向扩张；
1468214800361193472,升阳导引呼吸法,呼气,1,快速呼气时腹部内收，意念集中丹田，想象吸入天地清阳之气
1468214800361193472,升阳导引呼吸法,吸气,4,完成快速呼吸后，深吸一口气至饱满
1468214800361193472,升阳导引呼吸法,屏息,15,屏住呼吸，舌抵上腭，意守下丹田，感受温热感自脐下扩散
1468214800361193472,升阳导引呼吸法,呼气,6,缓慢完全呼气
1468214800361193472,升阳导引呼吸法,屏息,20,屏住呼吸，双肩放松，意想体内寒湿浊气从指尖、足心排出，保持周身松静
1468214800482828288,太息导引法,吸气,2,自然缓慢吸气，腹部轻微隆起，双肩微提但不耸起，意念集中于放松胸胁部，感受清气入体
1468214800482828288,太息导引法,呼气,4,深长叹息式呼气，发出轻柔‘呼‘声，双肩自然下沉，想象郁结之气随呼气从胁肋部排出体外，感受身体逐渐松弛
1468214800600268800,嗡鸣安神法,吸气,2,鼻吸气时腹部自然隆起，肋骨微扩，意念清新之气沿任脉沉入丹田，感受气息充盈；关键感受为胸腹温和扩张，无憋闷感。
